Q7a67qN-ggU	Narrow corridor RVO 1-2 (Wąski korytarz RVO 1-2)
-mqpW9HAVss	Narrow corridor RVO 8-3 (Wąski korytarz RVO 8-3)
H_WmEr0CN2w	Passage place R 1-H1 (Mijanka R 1-H1)
MYVMpvIpmHo	Passage place R+ 1-H1 (Mijanka R+ 1-H1)
DqAHRAVqY0A	Open space PR 1-1 (Otwarta przestrzeń PR 1-1)
zHV1kXFFQYU	Open space PR 1-2 (Otwarta przestrzeń PR 1-2)
Yj4F70znwIo	Open space R 1-1 (Otwarta przestrzeń R 1-1)
czi8Yho4Hys	Open space R 1-2 (Otwarta przestrzeń R 1-2)
g7OcxpWOw90	Open space R+ 1-1 (Otwarta przestrzeń R+ 1-1)
OYCtPeyAJLE	Open space R+ 1-2 (Otwarta przestrzeń R+ 1-2)
CuOLAZh-O5o	Open space RVO 1-1 (Otwarta przestrzeń RVO 1-1)
3NtoJaz52AM	Open space RVO 1-2 (Otwarta przestrzeń RVO 1-2)
_Cfq0Ptb9jA	Open space slant PR four robots task 1 (Otwarta przestrzeń skos PR cztery roboty zadanie 1)
BpGCXFnC1-Q	Open space slant PR four robots task 2 (Otwarta przestrzeń skos PR cztery roboty zadanie 2)
O-e1eyKHj3g	Open space slant R four robots task 1 (Otwarta przestrzeń skos R cztery roboty zadanie 1)
IrflEfQpAXE	Open space slant R four robots task 2 (Otwarta przestrzeń skos R cztery roboty zadanie 2)
J1xgTulbvQ4	Open space slant R+ four robots task 1 (Otwarta przestrzeń skos R+ cztery roboty zadanie 1)
xvjSJ0ORTDk	Open space slant R+ four robots task 2 (Otwarta przestrzeń skos R+ cztery roboty zadanie 2)
EpFUgwhn0lE	Open space slant RVO four robots task 1 (Otwarta przestrzeń skos RVO cztery roboty zadanie 1)
qPoj4nlup58	Open space slant RVO four robots task 2 (Otwarta przestrzeń skos RVO cztery roboty zadanie 2)
_Tm43SmLedc	Passage PF 1-H1 (Przejście przez drzwi PF 1-H1)
cLqNB0dsc4M	Passage PF 1-H2 (Przejście przez drzwi PF 1-H2)
PHW8u-Q3XCg	Passage PF+ 1-H1 (Przejście przez drzwi PF+ 1-H1)
0_fpP63sW0E	Passage PF+ 1-H2 (Przejście przez drzwi PF+ 1-H2)
5mVwC5RSEZo	Passage R 1-H1 (Przejście przez drzwi R 1-H1)
p0wgNgfuOHs	Passage R 1-H2 (Przejście przez drzwi R 1-H2)
gN6046S-iEk	Passage R+ 1-H1 (Przejście przez drzwi R+ 1-H1)
ji3wVt9Met0	Passage R+ 1-H2 (Przejście przez drzwi R+ 1-H2)
